어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
힐스가온어린이집,경기도,광주시,국공립,49,12,경기도 광주시 태전동로 50 관리동(힐스테이트태전5지구아파트),031-761-0807,031-761-0864,4,0,8,N,,2022-09-26
힐스라온어린이집,경기도,광주시,국공립,44,15,경기도 광주시 태성로 25 관리동(힐스테이트 태전 4단지),031-766-5938,,4,0,8,N,,2022-09-26
해누리어린이집,경기도,광주시,민간,106,9,경기도 광주시 초월읍 경수길 56,031-768-7762,031-768-7862,9,1,14,Y,,2022-09-26
해링턴어린이집,경기도,광주시,민간,67,17,경기도 광주시 고불로 87 관리동,031-764-0336,031-764-0339,4,1,7,Y,,2022-09-26
해밀숲어린이집,경기도,광주시,민간,138,19,경기도 광주시 이배재로 410-140,031-761-4325,,10,1,18,Y,,2022-09-26
해아뜰어린이집,경기도,광주시,민간,96,16,경기도 광주시 오포읍 새말길 94-1,031-711-2080,031-711-2080,7,2,16,Y,,2022-09-26
햇빛어린이집,경기도,광주시,사회복지법인,58,13,경기도 광주시 초월읍 지월로55번길 24-4,031-798-3141,031-798-3140,5,1,7,Y,,2022-09-26
햇살어린이집,경기도,광주시,민간,46,7,경기도 광주시 곤지암로 152,031-797-0646,031-797-8646,4,1,5,Y,,2022-09-26
행복가득한어린이집,경기도,광주시,가정,20,6,경기도 광주시 태봉로 77 301동 103호(성원아파트 3단지),031-766-8567,031-763-8567,4,0,7,N,,2022-09-26
행복아이어린이집,경기도,광주시,민간,42,13,경기도 광주시 순암로36번길 61 관리동 1층(이편한세상 광주역 4단지),031-764-8633,031-764-8677,3,0,6,N,,2022-09-26
헨젤과그레텔어린이집,경기도,광주시,민간,106,12,경기도 광주시 오포읍 마루들길 231-5,031-798-4234,031-798-2253,6,1,14,Y,,2022-09-26
현대숲어린이집,경기도,광주시,가정,17,6,경기도 광주시 오포읍 새말길167번길 9 현대그린빌 102동 101호,031-726-0633,031-726-0933,3,0,4,N,,2022-09-26
현진어린이집,경기도,광주시,민간,30,4,경기도 광주시 곤지암읍 평촌길 17 현진에버빌아파트 관리동 1층,031-798-2752,,3,0,4,N,,2022-09-26
혜윤어린이집,경기도,광주시,가정,20,1,"경기도 광주시 문화로85번길 19-9 101동 101호(경안동, 벨라지오빌라)",031-766-5537,031-766-5537,3,0,6,Y,,2022-09-26
키즈아트어린이집,경기도,광주시,가정,14,5,경기도 광주시 오포읍 새말길 93 104동 102호(현대모닝사이드 2차),031-726-9402,,3,2,4,Y,,2022-09-26
태전경남꿈꾸는어린이집,경기도,광주시,국공립,65,14,경기도 광주시 태봉로13번길 35,031-797-3355,,5,2,15,N,,2022-09-26
태전자이어린이집,경기도,광주시,가정,17,5,경기도 광주시 벼루개길42번길 35-1 관리동(태전파크자이 13BL),031-768-3800,,3,0,4,N,,2022-09-26
다예린빅스맘어린이집,경기도,광주시,민간,41,13,경기도 광주시 태봉로 176 8블럭 관리동,031-764-5333,,5,0,7,N,,2022-09-26
단비어린이집,경기도,광주시,가정,20,5,경기도 광주시 산수로 1252-3 주은빌리지101호,031-763-2108,,3,0,4,Y,,2022-09-26
동화나라어린이집,경기도,광주시,민간,135,20,경기도 광주시 도척면 노곡로5번길 52-5,031-762-1004,031-762-1904,8,2,15,Y,,2022-09-26
두껍아두껍아뭐하니어린이집,경기도,광주시,협동,20,3,경기도 광주시 오포읍 창뜰아랫길 37-17 (능평리),031-717-9954,031-717-1188,5,0,0,N,,2022-09-26
힐스다온어린이집,경기도,광주시,국공립,44,14,경기도 광주시 태전동로 54 관리동(힐스테이트 태전),031-761-7953,031-761-7954,4,0,12,N,,2022-09-26
힐스별토리어린이집,경기도,광주시,국공립,30,14,경기도 광주시 벼루개길42번길 24-3 관리동(힐스테이트 태전2차 에듀포레),031-762-7716,031-762-7761,4,0,8,N,,2022-09-26
들빛어린이집,경기도,광주시,가정,20,8,경기도 광주시 고불로 87 104동 101호(효성해링턴플레이스A),070-5104-9363,0504-266-2813,4,0,6,N,,2022-09-26
딸기어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포로909번길 32-7 102동102호,031-764-7432,,3,0,4,Y,,2022-09-26
라온아이어린이집,경기도,광주시,가정,20,5,경기도 광주시 오포읍 태재로 20-30 104동 1층(라온프라이빗아파트),070-4036-8026,,3,0,4,Y,,2022-09-26
레인보우어린이집,경기도,광주시,민간,119,17,경기도 광주시 목동길 110,031-767-8060,031-767-1060,8,3,15,Y,,2022-09-26
리라어린이집,경기도,광주시,가정,19,6,경기도 광주시 오포읍 봉골길 82 105-102(우림퓨전빌아파트),031-764-9888,,3,0,4,N,,2022-09-26
리안어린이집,경기도,광주시,민간,135,24,경기도 광주시 장지7길 29-25 (장지동),031-765-5355,031-797-9782,11,1,10,Y,,2022-09-26
리틀정다운어린이집,경기도,광주시,가정,19,10,경기도 광주시 오포읍 양촌안길 35-17 세양청마루아파트 105동 107호,031-699-5141,,3,0,4,Y,,2022-09-26
명성어린이집,경기도,광주시,민간,99,16,경기도 광주시 절골길 12-13,031-765-7175,031-767-7175,7,2,10,Y,,2022-09-26
문형내안애어린이집,경기도,광주시,민간,78,1,경기도 광주시 오포읍 문형새솔길 9 관리동(문형 양우내안애 아파트),031-766-9022,,6,1,12,N,,2022-09-26
미소랑어린이집,경기도,광주시,민간,74,10,경기도 광주시 퇴촌면 탑골길 21,031-768-1911,031-768-1911,7,1,7,Y,,2022-09-26
반딧불이어린이집,경기도,광주시,민간,61,7,경기도 광주시 오포읍 문형산안길 48 가동,031-718-8598,031-718-8599,7,1,12,Y,,2022-09-26
백마어린이집,경기도,광주시,직장,34,7,경기도 광주시 오포읍 양벌로353번길 40-41 백마빌리지 106동1층,031-766-7715,,5,0,16,N,,2022-09-26
베베스쿨어린이집,경기도,광주시,가정,20,3,경기도 광주시 회안대로 621-15 관리동(벽산블루밍2단지),070-7633-9655,,3,0,4,N,,2022-09-26
베베현진어린이집,경기도,광주시,가정,17,6,"경기도 광주시 곤지암읍 평촌길 17 102동 106호(삼리, 현진에버빌)",031-798-0577,,3,0,4,N,,2022-09-26
베이비키즈스쿨어린이집,경기도,광주시,가정,17,6,경기도 광주시 오포읍 상태길 18 한성빌라 101호,031-726-9302,031-726-9302,3,0,4,N,,2022-09-26
봄햇살어린이집,경기도,광주시,민간,127,19,경기도 광주시 오포읍 양촌길 4-9,031-797-5279,,7,1,19,Y,,2022-09-26
사나래어린이집,경기도,광주시,민간,46,10,경기도 광주시 경충대로 1407-9,031-764-0338,031-767-4375,4,1,8,Y,,2022-09-26
사랑나무어린이집,경기도,광주시,가정,20,1,경기도 광주시 오포읍 문형새솔길 3 103동 104호(오포문형 양우내안애 아파트),031-764-2026,031-797-9460,3,0,4,N,,2022-09-26
산새소리어린이집,경기도,광주시,민간,42,12,경기도 광주시 순암로36번길 87 관리동 1층(이편한세상 광주역 3단지),031-769-0636,,3,0,6,N,,2022-09-26
상떼앙팡어린이집,경기도,광주시,가정,20,9,"경기도 광주시 태봉로 77 304동 102호(태전동, 성원상떼빌3단지아파트)",031-763-3910,031-763-3910,4,2,5,Y,,2022-09-26
새롬어린이집,경기도,광주시,민간,163,19,경기도 광주시 오포읍 양벌로353번길 29-3,031-765-0600,031-765-0054,9,2,16,Y,,2022-09-26
새싹어린이집,경기도,광주시,가정,19,8,경기도 광주시 경충대로1127번길 15 동광모닝스카이아파트 101동 101호,031-761-7101,,3,0,4,N,,2022-09-26
성신아이어린이집,경기도,광주시,가정,18,2,경기도 광주시 이배재로 410-9 한성펠리체 102호,031-797-3826,,3,0,4,Y,,2022-09-26
성원어린이집,경기도,광주시,민간,52,9,경기도 광주시 태봉로 48 성원아파트1단지 복지관2층,031-768-9333,031-768-9334,4,2,6,Y,,2022-09-26
세인어린이집,경기도,광주시,민간,106,9,경기도 광주시 장지3길 6-22 세인어린이집,031-767-1237,031-761-8351,7,1,16,Y,,2022-09-26
송정하엘어린이집,경기도,광주시,민간,33,7,경기도 광주시 중앙로 338-5 1층,031-8028-5055,031-8028-5056,4,0,5,Y,,2022-09-26
숲속동화어린이집,경기도,광주시,민간,49,8,경기도 광주시 오포읍 상태길 177-6,031-726-9307,,6,0,8,Y,,2022-09-26
숲속어린이집,경기도,광주시,법인·단체,95,12,경기도 광주시 남종면 산수로 1595-7,031-765-7245,031-765-7247,7,1,8,Y,,2022-09-26
스머프어린이집,경기도,광주시,가정,20,6,경기도 광주시 퇴촌면 도지울길13번길 22-10 106동 102호(초원맨션),031-763-6853,031-763-6832,3,0,4,Y,,2022-09-26
신나는아이세상어린이집,경기도,광주시,가정,20,5,경기도 광주시 능평로 193 오포베르빌아파트 102동 102호,031-763-2713,031-763-2713,3,0,0,N,,2022-09-26
파크자이어린이집,경기도,광주시,가정,17,6,경기도 광주시 벼루개길42번길 36-1 관리동(태전파크자이아파트14bl),031-763-0533,,3,0,3,N,,2022-09-26
푸른솔어린이집,경기도,광주시,민간,117,18,경기도 광주시 초월읍 도곡안길 52,031-767-5100,031-766-6014,11,2,12,Y,,2022-09-26
푸른숲옹달샘어린이집,경기도,광주시,민간,42,8,경기도 광주시 마루들길 259-39,031-764-7333,031-764-7311,5,0,12,Y,,2022-09-26
풍경어린이집,경기도,광주시,가정,17,4,경기도 광주시 오포읍 상태길 101-16 1동 101호,031-726-2726,,3,0,4,N,,2022-09-26
하늘담은어린이집,경기도,광주시,가정,17,5,경기도 광주시 오포읍 마루들길 278 캐슬타운 102호,031-798-4825,031-798-4825,3,0,4,Y,,2022-09-26
하맘스어린이집,경기도,광주시,가정,20,4,경기도 광주시 오포읍 능평로 211-18 B동 101호,031-766-9534,,3,0,4,Y,,2022-09-26
아띠어린이집,경기도,광주시,민간,69,9,경기도 광주시 초월읍 경충대로 1337-50,031-765-9879,031-768-4679,6,5,7,Y,,2022-09-26
아이꿈터어린이집,경기도,광주시,가정,17,6,경기도 광주시  곤지암읍 곤지암로11번길 11-10 101동 104호(삼주노블리제아파트),031-763-2328,031-763-2328,4,0,4,N,,2022-09-26
아이누리어린이집,경기도,광주시,민간,49,8,경기도 광주시 회안대로 637-36 관리동(경남아너스빌 2단지),031-768-9786,,5,0,6,N,,2022-09-26
아이랜드어린이집,경기도,광주시,민간,99,18,경기도 광주시 곤지암읍 평촌길 38-20 우리빌딩,031-763-2228,031-763-2906,7,2,10,Y,,2022-09-26
아이잼어린이집,경기도,광주시,가정,20,6,경기도 광주시 태봉로 110 107동 102호(태전아이파크A),031-762-1232,070-8220-9123,3,0,4,N,,2022-09-26
알프하임어린이집,경기도,광주시,민간,168,20,경기도 광주시 오포읍 수레안길41번길 37,031-716-1555,031-719-3338,10,1,20,Y,,2022-09-26
애경어린이집,경기도,광주시,민간,68,11,경기도 광주시 수하길 23,031-761-8558,031-761-8558,8,2,9,Y,,2022-09-26
앰버챔버어린이집,경기도,광주시,민간,176,16,경기도 광주시 초월읍 무들로147번길 58,031-765-5288,031-765-5210,11,1,19,Y,,2022-09-26
양벌어린이집,경기도,광주시,국공립,57,12,"경기도 광주시 오포읍 마루들길 251 관리동(e편한세상광주양벌아파트, 오포4차)",031-766-0160,031-766-0161,4,1,8,N,,2022-09-26
엄마Mom어린이집,경기도,광주시,가정,19,7,경기도 광주시 오포읍 새말길 160 나이스빌 101호,031-712-7726,,3,0,4,N,,2022-09-26
엘림어린이집,경기도,광주시,가정,13,8,"경기도 광주시  경안로 106 102동 108호(경안동, 해태아파트)",031-764-9188,031-764-9188,2,0,4,N,,2022-09-26
열미어린이집,경기도,광주시,국공립,97,16,경기도 광주시 곤지암읍 광여로 224-14,031-769-0207,031-769-7227,6,1,15,Y,,2022-09-26
예꼬어린이집,경기도,광주시,가정,16,4,경기도 광주시 현산로 86 도평신일아파트  105동 104호,031-764-9669,031-764-9669,3,0,4,N,,2022-09-26
예꿈키즈어린이집,경기도,광주시,가정,19,5,"경기도 광주시 탄벌길 60 102동 102호(탄벌동, 우림루미아트아파트)",031-762-8258,,3,0,4,Y,,2022-09-26
예빛어린이집,경기도,광주시,민간,36,11,경기도 광주시 태전동로 11 306동 1층,031-798-2378,031-798-2378,3,0,8,Y,,2022-09-26
예소리어린이집,경기도,광주시,민간,80,13,경기도 광주시 오포읍 양벌로 184-22,031-761-2228,031-360-4922,7,1,11,Y,,2022-09-26
예슬어린이집,경기도,광주시,가정,20,7,"경기도 광주시 초월읍 경충대로1127번길 55 103동 105호(쌍동리, 초월E편한세상1차아파트)",031-766-9366,031-766-9366,3,0,4,Y,,2022-09-26
예진어린이집,경기도,광주시,민간,119,18,경기도 광주시 오포읍 오포로171번길 17-218 (능평리 161-36),031-765-1519,031-765-1539,9,1,23,Y,,2022-09-26
오포어린이집,경기도,광주시,민간,181,21,경기도 광주시 오포읍 오포안로 306 (오포어린이집),031-762-2000,031-762-2077,11,2,13,Y,,2022-09-26
우리들어린이집,경기도,광주시,가정,20,6,경기도 광주시 중앙로 10 (쌍령동),031-798-5096,031-798-5096,4,0,6,N,,2022-09-26
우림빅스맘어린이집,경기도,광주시,가정,13,1,"경기도 광주시 오포읍 마루들길 248 108동 102호(양벌리, 양벌리우림)",031-769-2082,031-769-2082,3,0,4,N,,2022-09-26
유리어린이집,경기도,광주시,민간,73,12,경기도 광주시 이배재로 179-21 (목현동),031-769-2616,031-769-2622,6,2,16,Y,,2022-09-26
이룸어린이집,경기도,광주시,민간,108,11,경기도 광주시 오포읍 양벌로 303-10,031-765-0016,031-765-0017,9,2,24,Y,,2022-09-26
정화어린이집,경기도,광주시,민간,199,22,경기도 광주시 오포읍 신현로 12-224,031-726-7942,,11,2,26,Y,,2022-09-26
이튼몬테소리어린이집,경기도,광주시,민간,42,9,경기도 광주시 순암로36번길 41 관리동 1층(이편한세상 광주역 5단지),031-798-1227,031-798-1121,3,1,6,Y,,2022-09-26
종달새어린이집,경기도,광주시,가정,20,8,경기도 광주시 광동로56번길 22 102동 101호(렉스빌),031-762-7605,031-763-7609,3,0,5,Y,,2022-09-26
즐거운키즈어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 능평로 91-13 보민타운 102호,031-717-2230,031-768-6785,3,0,4,N,,2022-09-26
지향어린이집,경기도,광주시,민간,112,15,경기도 광주시 오포읍 성들길 90-1 지향어린이집,031-765-4564,031-765-4563,7,1,15,Y,,2022-09-26
이화키즈스쿨어린이집,경기도,광주시,민간,154,18,경기도 광주시 능평로30번길 6-8,031-718-8123,031-718-8124,15,1,32,Y,,2022-09-26
자연사랑어린이집,경기도,광주시,민간,87,11,경기도 광주시 순암로492번길 60-1 (삼동),031-769-7511,031-769-7948,6,2,16,Y,,2022-09-26
자이어린이집,경기도,광주시,국공립,87,18,경기도 광주시 광주역5로 18,031-764-3114,031-764-6114,5,1,15,N,,2022-09-26
차일드유2관어린이집,경기도,광주시,법인·단체,133,21,경기도 광주시 사기막길95번길 46,031-765-6127,031-768-8255,9,3,20,Y,,2022-09-26
초록어린이집,경기도,광주시,민간,71,8,경기도 광주시 중앙로 338-50,031-798-2204,,5,1,8,Y,,2022-09-26
초월어린이집,경기도,광주시,국공립,90,20,경기도 광주시 초월읍 무들로 3-22,031-762-8144,,6,1,12,N,,2022-09-26
e편한미소어린이집,경기도,광주시,민간,31,10,경기도 광주시 태전동로 16 이편한세상태전2차아파트 관리동,031-699-4421,,3,0,4,N,,2022-09-26
e편한수피아어린이집,경기도,광주시,민간,43,13,"경기도 광주시 순암로36번길 88 (역동, 이편한세상 광주역 1단지)",031-762-3737,,3,0,4,N,,2022-09-26
가온어린이집,경기도,광주시,가정,17,4,경기도 광주시 태재로 137-6 한성하이츠빌라 A동 102호,031-726-3280,,3,0,4,Y,,2022-09-26
고산어린이집,경기도,광주시,국공립,99,17,경기도 광주시 오포읍 포은대로 448-2,031-766-2628,031-767-9628,6,2,16,Y,,2022-09-26
꼬마숲에덴어린이집,경기도,광주시,가정,20,8,경기도 광주시 오포읍 능평로30번길 6-14 B동 102호(삼성하이츠),031-715-7772,,3,0,4,N,,2022-09-26
꿈나래어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 회안대로 90-1 101동 102호(대성아파트),031-761-7904,,3,0,4,Y,,2022-09-26
꿈모아어린이집,경기도,광주시,국공립,45,13,경기도 광주시 초월읍 경충대로1127번길 21-1 관리동(광주초월역모아미래도파크힐스),031-767-1027,031-767-1027,4,1,14,N,,2022-09-26
광주중앙어린이집,경기도,광주시,민간,151,17,경기도 광주시 행정타운로138번길 1-19,031-767-8541,031-767-8542,9,2,14,Y,,2022-09-26
꿈의숲어린이집,경기도,광주시,가정,20,6,경기도 광주시 오포읍 청석로 70 102동 104호(광주역우방아이유쉘),031-762-1107,031-762-1107,4,0,5,N,,2022-09-26
꿈터어린이집,경기도,광주시,민간,61,12,경기도 광주시 태봉로 61 성원아파트 2단지 관리사무소 2층,031-767-8811,031-797-5938,5,2,7,Y,,2022-09-26
남한산숲어린이집,경기도,광주시,민간,49,11,경기도 광주시 남한산성면 남한산성로 507-36,070-4235-0812,,5,0,8,Y,,2022-09-26
금강숲어린이집,경기도,광주시,민간,46,12,경기도 광주시 경안천로 145 금강펜테리움2단지 관리동,031-765-1207,,7,0,8,Y,,2022-09-26
꼬꼬마어린이집,경기도,광주시,가정,20,8,"경기도 광주시 오포읍 양벌로 173 105동 104호(양벌리, 쌍용)",031-797-7432,,3,0,4,N,,2022-09-26
누리봄어린이집,경기도,광주시,가정,20,6,경기도 광주시 고불로 87 107동 104호(효성해링턴플레이스A),031-699-8311,,4,0,5,N,,2022-09-26
눈부신아이들어린이집,경기도,광주시,민간,91,11,경기도 광주시  오포읍 독산동길 29,031-762-8577,,9,2,24,Y,,2022-09-26
한벌자연어린이집,경기도,광주시,민간,159,20,경기도 광주시 탄벌길 100-13 탄벌동354-3,031-699-3033,031-766-7933,10,1,16,Y,,2022-09-26
한성어린이집,경기도,광주시,민간,173,27,경기도 광주시 초월읍 경안천로 253-21,031-765-0991,031-764-6444,8,2,14,Y,,2022-09-26
한아람어린이집,경기도,광주시,국공립,42,13,경기도 광주시 태성로 107 관리동(힐스테이트태전한아람마을아파트),031-768-1539,031-768-1538,4,0,8,N,,2022-09-26
한음어린이집,경기도,광주시,민간,174,27,경기도 광주시 태봉로1번길 9,031-797-4554,,10,2,26,Y,,2022-09-26
해담솔어린이집,경기도,광주시,가정,20,8,경기도 광주시 중앙로 338-46 주목샤넬카운티 203동 101호 <해담솔어린이집>,031-767-3386,,3,0,4,N,,2022-09-26
해맑은어린이집,경기도,광주시,가정,20,7,경기도 광주시 초월읍 경충대로 921 벽산블루밍아파트 101동 102호,031-798-2987,,3,0,4,Y,,2022-09-26
해솔어린이집,경기도,광주시,민간,136,12,경기도 광주시 초월읍 도평길 17-6,031-764-0028,031-765-1127,10,1,12,Y,,2022-09-26
해피사랑어린이집,경기도,광주시,민간,106,16,경기도 광주시 오포읍 창뜰윗길6번길 29,031-726-9224,031-726-9222,8,2,13,Y,,2022-09-26
햇살가득어린이집,경기도,광주시,가정,19,4,경기도 광주시 경충대로1422번길 26 202동102호 (쌍령2차동성아파트),070-8746-7705,031-624-4401,3,0,4,N,,2022-09-26
행복가득중대동어린이집,경기도,광주시,가정,15,6,경기도 광주시 텃골길 63-15 오페라하우스 105동 102호,070-7516-2889,0507-711-5410,3,0,4,N,,2022-09-26
행복마루어린이집,경기도,광주시,국공립,127,20,경기도 광주시 광주역8로 12,031-766-7331,031-766-7332,5,1,16,N,,2022-09-26
행복한숲어린이집,경기도,광주시,가정,16,6,"경기도 광주시 벌원길 64-5 104동 105호(탄벌동, 동보아파트)",031-764-2714,,3,0,4,N,,2022-09-26
행복한어린이집,경기도,광주시,민간,119,14,경기도 광주시 탄벌길 142,031-797-5958,031-798-8958,8,3,14,Y,,2022-09-26
현대브레인어린이집,경기도,광주시,민간,26,5,경기도 광주시 경충대로1422번길 42 관리동 1층(쌍령2차 현대모닝사이드),031-763-8641,031-763-8641,3,0,3,Y,,2022-09-26
현대예원어린이집,경기도,광주시,가정,20,5,"경기도 광주시 벌원길 63 관리동 1층(탄벌동, 현대아파트)",031-797-0046,,3,1,4,Y,,2022-09-26
혜원어린이집,경기도,광주시,민간,131,20,경기도 광주시 초월읍 독고개길 14-6,031-699-3334,031-766-6062,7,1,9,N,,2022-09-26
혜윰어린이집,경기도,광주시,민간,63,9,경기도 광주시 중앙로123번길 16-18,031-766-7993,031-766-7993,5,2,8,Y,,2022-09-26
호아맘어린이집,경기도,광주시,가정,18,7,경기도 광주시 오포읍 상태길 64 대보맨션 2차 101호,031-718-9738,,3,0,4,N,,2022-09-26
회덕민들레어린이집,경기도,광주시,가정,20,6,경기도 광주시 회덕길 127-9,031-797-2549,031-797-2549,3,0,4,Y,,2022-09-26
꿈나무어린이집,경기도,구리시,가정,20,8,"경기도 구리시 건원대로99번길 112 103동 102호(인창동, 동문굿모닝힐아파트)",031-515-8881,031-515-8881,3,0,,N,,2023-10-19
나눔어린이집,경기도,구리시,민간,33,10,경기도 구리시 검배로60번길 10 2층 (수택동),031-553-6832,031-555-6832,4,0,,Y,,2023-10-19
남양아이꿈 어린이집,경기도,구리시,민간,21,7,경기도 구리시 경춘로276번길 67-40 남양 아이좋은집 아파트 내 상가 1층 (수택동),031-564-2255,031-564-2255,3,0,,N,,2023-10-19
e편한어린이집,경기도,구리시,가정,17,6,"경기도 구리시 안골로64번길 10 102동 101호(수택동, e편한세상 수택 센트럴파크)",031-554-1356,031-554-1356,3,0,,N,https://m.cafe.daum.ne/_ipyaonhan,2023-10-19
가대라곡어린이집,경기도,구리시,민간,25,8,경기도 구리시 동구릉로148번길 15 원일가대라곡아파트 관리동 (인창동),031-566-8819,031-566-8815,4,0,,N,,2023-10-19
갈매아이사랑어린이집,경기도,구리시,가정,20,7,"경기도 구리시 산마루로 46 409동 102호(갈매동, 갈매4단지)",031-575-0388,,3,0,,N,,2023-10-19
교문사임당어린이집,경기도,구리시,가정,20,11,경기도 구리시 장자대로37번길 76 한가람아파트105동103호,031-514-0848,031-514-0848,4,0,,N,,2023-10-19
아이조아어린이집,경기도,구리시,가정,20,6,"경기도 구리시 갈매중앙로 16 706동 104호(갈매동, 대우 푸르지오아파트)",031-527-3233,031-527-3233,3,0,,N,,2023-10-19
아차산꼬마숲속어린이집,경기도,구리시,가정,20,8,"경기도 구리시 아차산로487번길 10 102동 103호(교문동, 금호어울림아파트)",031-565-2959,,3,0,,N,,2023-10-19
아해뜰어린이집,경기도,구리시,가정,19,8,경기도 구리시 동구릉로53번길 67 203동 103호 인창동 LG아파트,031-558-8420,031-558-8420,4,0,,N,,2023-10-19
안델센어린이집,경기도,구리시,민간,48,11,경기도 구리시 경춘로162번길 40 (교문동),031-557-1528,0504-236-4214,4,1,,Y,,2023-10-19
애림어린이집,경기도,구리시,가정,20,11,경기도 구리시 응달말로40번길 13 삼호아파트 1동 101호,031-566-8007,,3,0,,N,,2023-10-19
예그리나어린이집,경기도,구리시,가정,20,7,"경기도 구리시 장자대로37번길 55 102동 106호(교문동, 덕현아파트)",031-551-5045,,4,0,,N,,2023-10-19
예랑어린이집,경기도,구리시,가정,20,7,경기도 구리시 건원대로34번길 51 508동 104호(인창동 삼환.신일아파트),031-557-3807,,3,0,,N,,2023-10-19
예사랑어린이집,경기도,구리시,가정,19,7,"경기도 구리시 이문안로 51 115동 102호(교문동, 한성아파트)",031-557-2650,,3,3,,N,,2023-10-19
우남어린이집,경기도,구리시,가정,18,3,"경기도 구리시 검배로 154 103-105호(토평동, 우남아파트)",031-512-6440,031-514-6402,3,0,,N,,2023-10-19
원창어린이집,경기도,구리시,민간,37,11,경기도 구리시 장자대로111번길 15 한일아파트 관리동 원창어린이집,031-558-1781,031-513-2763,4,0,,Y,,2023-10-19
윤희어린이집,경기도,구리시,민간,76,10,경기도 구리시 안골로20번길 27 (교문동),031-555-0046,031-553-3235,3,1,,Y,,2023-10-19
이레어린이집,경기도,구리시,가정,20,7,"경기도 구리시 건원대로34번길 51 501동 104호(인창동, 삼환)",031-564-9612,031-569-9529,3,0,,Y,,2023-10-19
인창주공어린이집,경기도,구리시,민간,37,8,경기도 구리시 건원대로76번길 39 2단지 단지내 주공어린이집 (인창동),031-554-1221,031-554-1224,4,0,,N,,2023-10-19
자연어린이집,경기도,구리시,가정,20,8,"경기도 구리시 장자대로37번길 70 103동 106호(교문동, 한가람아파트)",031-567-0470,031-524-9960,3,0,,N,,2023-10-19
정다운어린이집,경기도,구리시,가정,17,2,"경기도 구리시 체육관로 54 102동 107호(수택동, 엘지원앙)",031-555-3529,,3,0,,N,,2023-10-19
다둥맘어린이집,경기도,구리시,가정,20,5,"경기도 구리시 검배로 142 201동 101호(토평동, 에스케이신일)",031-558-7921,031-516-7921,3,0,,N,,2023-10-19
다사랑어린이집,경기도,구리시,가정,20,6,"경기도 구리시 갈매중앙로 131 305동 102호(갈매동,한라비발디)",031-574-5756,031-574-5756,4,0,,N,,2023-10-19
다솜어린이집,경기도,구리시,가정,20,8,"경기도 구리시 산마루로 46 408동 102호(갈매동, 갈매스타힐스)",031-574-3153,031-574-3152,3,0,,N,http://www.aga24.net/branch/dasom/,2023-10-19
더샵리틀어린이집,경기도,구리시,가정,20,11,"경기도 구리시 갈매순환로 10 2005동 103호(갈매동, 갈매더샵나인힐스)",031-510-1333,,3,0,,N,,2023-10-19
덕현어린이집,경기도,구리시,가정,20,7,"경기도 구리시 장자대로37번길 55 105동 101호(교문동, 덕현)",031-557-0376,031-557-0376,3,1,,N,,2023-10-19
동구사임당어린이집,경기도,구리시,가정,15,10,"경기도 구리시 건원대로76번길 134 413동 105호(인창동, 주공4단지아파트)",031-556-5100,031-556-5100,3,0,,N,http://cafe.daum.net/donggukidswon,2023-10-19
동원서머힐어린이집,경기도,구리시,민간,39,7,경기도 구리시 동구릉로53번길 42 동원베네스트아파트관리동내,031-564-5665,031-564-5666,3,0,,N,,2023-10-19
동화속 어린이집,경기도,구리시,가정,20,6,"경기도 구리시 장자대로37번길 55 101동 102호(교문동, 덕현)",031-562-8900,031-562-8900,3,0,,N,,2023-10-19
두산어린이집,경기도,구리시,가정,16,9,"경기도 구리시 체육관로113번길 45 109동 105호(교문동, 구리두산아파트)",031-556-9665,031-551-0091,3,0,,Y,,2023-10-19
또래어린이집,경기도,구리시,가정,20,9,"경기도 구리시 체육관로 54 101동 103호(수택동, 엘지원앙)",031-562-7114,,3,0,,N,,2023-10-19
럭키어린이집,경기도,구리시,가정,14,4,경기도 구리시 이문안로 124 5동 103호 (수택동 럭키아파트),031-557-9602,,2,0,,N,,2023-10-19
리틀시티어린이집,경기도,구리시,가정,20,5,"경기도 구리시 갈매중앙로 45 505동 104호(갈매동, 갈매와이시티)",031-513-7942,,3,0,,N,,2023-10-19
명성어린이집,경기도,구리시,민간,220,42,경기도 구리시 검배로72번길 11-5,031-567-2285,031-556-3712,15,3,,Y,,2023-10-19
베베어린이집,경기도,구리시,가정,16,6,"경기도 구리시 동구릉로85번길 9 107동 103호(인창동, 동원베네스트)",031-562-5003,,3,0,,N,,2023-10-19
별하어린이집,경기도,구리시,가정,20,7,"경기도 구리시 체육관로 45 105동 102호(교문동, 구리우성한양아파트)",031-514-0747,,4,1,,N,,2023-10-19
사랑나눔어린이집,경기도,구리시,민간,125,15,경기도 구리시 갈매순환로 28 1층 (갈매동),031-571-1375,031-571-1376,6,2,,Y,,2023-10-19
사랑숲어린이집,경기도,구리시,가정,20,7,"경기도 구리시 동구릉로129번길 23 101동 103호(인창동,인창2차 이-편한세상)",031-562-5625,,3,0,,N,,2023-10-19
